Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
Txn_9249507,Cookie,4,1.0,4.0,Credit Card,In-Store,2023-11-21
Txn_9836934,Cookie,3,1.0,3.0,Digital Wallet,In-Store,2023-03-13
Txn_3925836,Cookie,3,1.0,3.0,Digital Wallet,In-Store,2023-02-16
Txn_3978874,Smoothie,5,4.0,20.0,Credit Card,In-Store,2023-03-13
Txn_8007337,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-11-01
Txn_5365809,Cake,3,3.0,9.0,Cash,In-Store,2023-09-14
Txn_6629480,Smoothie,5,4.0,20.0,Credit Card,In-Store,2023-02-28
Txn_7412722,Juice,4,3.0,12.0,Cash,In-Store,2023-04-07
Txn_6000201,Cookie,3,1.0,3.0,Cash,Takeaway,2023-02-16
Txn_2950680,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-12-10
Txn_4088917,Coffee,3,2.0,6.0,Cash,Takeaway,2023-02-04
Txn_3779366,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-04-15
Txn_3171373,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-05-10
Txn_3857960,Salad,4,5.0,20.0,Cash,In-Store,2023-04-26
Txn_9250710,Salad,1,5.0,5.0,Cash,In-Store,2023-05-28
Txn_9879996,Coffee,4,2.0,8.0,Digital Wallet,In-Store,2023-03-01
Txn_4291940,Cake,3,3.0,9.0,Credit Card,In-Store,2023-11-13
Txn_5047447,Salad,1,5.0,5.0,Digital Wallet,Takeaway,2023-12-27
Txn_6623508,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-05-18
Txn_2230167,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-09-22
Txn_3786188,Tea,3,1.5,4.5,Credit Card,In-Store,2023-10-20
Txn_9642066,Sandwich,3,4.0,12.0,Credit Card,In-Store,2023-08-31
Txn_6616971,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-09-02
Txn_7803615,Salad,3,5.0,15.0,Cash,In-Store,2023-12-13
Txn_1583597,Salad,1,5.0,5.0,Cash,In-Store,2023-05-10
Txn_8472308,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-08-19
Txn_1967565,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-03-31
Txn_2029497,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-01-06
Txn_7852990,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-07-10
Txn_2059647,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-05-29
Txn_2485183,Smoothie,5,4.0,20.0,Cash,In-Store,2023-07-07
Txn_9401522,Sandwich,4,4.0,16.0,Digital Wallet,In-Store,2023-11-16
Txn_8250651,Sandwich,4,4.0,16.0,Digital Wallet,In-Store,2023-03-13
Txn_8982764,Cake,5,3.0,15.0,Digital Wallet,Takeaway,2023-11-23
Txn_1153869,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-11-03
Txn_7557340,Tea,5,1.5,7.5,Credit Card,In-Store,2023-12-11
Txn_1157817,Smoothie,1,4.0,4.0,Digital Wallet,In-Store,2023-04-25
Txn_2020318,Tea,3,1.5,4.5,Digital Wallet,In-Store,2023-10-12
Txn_2031459,Cake,3,3.0,9.0,Cash,Takeaway,2023-07-04
Txn_4912930,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-02-26
Txn_3723007,Tea,3,1.5,4.5,Digital Wallet,In-Store,2023-05-18
Txn_7559388,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-02-26
Txn_8540499,Cookie,3,1.0,3.0,Cash,In-Store,2023-01-22
Txn_6795640,Cookie,4,1.0,4.0,Digital Wallet,Takeaway,2023-01-28
Txn_6702428,Coffee,5,2.0,10.0,Cash,Takeaway,2023-08-11
Txn_5523450,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-07-02
Txn_7838964,Sandwich,3,4.0,12.0,Credit Card,In-Store,2023-06-15
Txn_7275407,Smoothie,2,4.0,8.0,Digital Wallet,In-Store,2023-10-20
Txn_9472241,Salad,3,5.0,15.0,Cash,Takeaway,2023-06-30
Txn_1846004,Juice,3,3.0,9.0,Cash,In-Store,2023-05-21
Txn_7773968,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-02-24
Txn_9081088,Tea,2,1.5,3.0,Cash,Takeaway,2023-02-27
Txn_1130191,Smoothie,2,4.0,8.0,Cash,In-Store,2023-04-06
Txn_1040764,Coffee,3,2.0,6.0,Cash,Takeaway,2023-07-27
Txn_2100697,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-09-19
Txn_4134594,Sandwich,3,4.0,12.0,Digital Wallet,In-Store,2023-09-27
Txn_5079340,Cookie,4,1.0,4.0,Cash,In-Store,2023-08-18
Txn_1380601,Tea,4,1.5,6.0,Digital Wallet,In-Store,2023-03-11
Txn_2052395,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-07-06
Txn_8256593,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-08-09
Txn_9271457,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-02-27
Txn_5392603,Coffee,1,2.0,2.0,Cash,In-Store,2023-05-14
Txn_9263299,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-10-08
Txn_1436343,Cookie,1,1.0,1.0,Credit Card,In-Store,2023-11-26
Txn_7480234,Salad,1,5.0,5.0,Cash,Takeaway,2023-05-10
Txn_1454467,Juice,3,3.0,9.0,Cash,In-Store,2023-03-15
Txn_8224079,Cookie,5,1.0,5.0,Cash,In-Store,2023-10-16
Txn_1916339,Cake,1,3.0,3.0,Cash,In-Store,2023-07-15
Txn_8611035,Sandwich,5,4.0,20.0,Digital Wallet,In-Store,2023-05-28
Txn_3595735,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-03-26
Txn_6169633,Salad,4,5.0,20.0,Credit Card,Takeaway,2023-12-20
Txn_4518102,Tea,5,1.5,7.5,Credit Card,In-Store,2023-02-08
Txn_3666858,Cake,4,3.0,12.0,Credit Card,In-Store,2023-12-27
Txn_5499915,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-02-01
Txn_1564754,Salad,3,5.0,15.0,Digital Wallet,In-Store,2023-03-14
Txn_1824506,Cake,1,3.0,3.0,Cash,In-Store,2023-03-02
Txn_1002457,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-09-29
Txn_4732351,Sandwich,1,4.0,4.0,Digital Wallet,In-Store,2023-04-22
Txn_4980036,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-05
Txn_3022839,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-08-25
Txn_7701070,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-07-28
Txn_8048037,Sandwich,2,4.0,8.0,Digital Wallet,Takeaway,2023-03-31
Txn_1887522,Sandwich,4,4.0,16.0,Cash,In-Store,2023-02-20
Txn_6769465,Juice,5,3.0,15.0,Digital Wallet,In-Store,2023-06-13
Txn_4980282,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-10-22
Txn_8209125,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-01-30
Txn_3730415,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-04-09
Txn_4134253,Tea,4,1.5,6.0,Cash,In-Store,2023-10-07
Txn_7558641,Coffee,1,2.0,2.0,Digital Wallet,In-Store,2023-12-22
Txn_3234877,Coffee,4,2.0,8.0,Cash,Takeaway,2023-07-29
Txn_6368719,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-01-03
Txn_8852585,Sandwich,4,4.0,16.0,Credit Card,Takeaway,2023-01-05
Txn_9201010,Salad,1,5.0,5.0,Credit Card,Takeaway,2023-03-15
Txn_3607652,Salad,4,5.0,20.0,Digital Wallet,In-Store,2023-06-05
Txn_8502094,Juice,5,3.0,15.0,Credit Card,In-Store,2023-03-21
Txn_9068244,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-10-19
Txn_7633490,Cookie,1,1.0,1.0,Cash,Takeaway,2023-10-27
Txn_9292230,Tea,4,1.5,6.0,Credit Card,In-Store,2023-07-14
Txn_8006668,Tea,4,1.5,6.0,Credit Card,In-Store,2023-12-22
Txn_3560062,Cookie,1,1.0,1.0,Cash,In-Store,2023-03-20
Txn_6360132,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-09-16
Txn_7864939,Sandwich,3,4.0,12.0,Digital Wallet,In-Store,2023-08-19
Txn_3740963,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-01-22
Txn_6063966,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-10-24
Txn_3779640,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-05-16
Txn_8136881,Salad,3,5.0,15.0,Cash,In-Store,2023-08-28
Txn_3981449,Smoothie,2,4.0,8.0,Cash,In-Store,2023-06-21
Txn_4033802,Tea,3,1.5,4.5,Cash,Takeaway,2023-03-02
Txn_4696439,Cookie,1,1.0,1.0,Cash,In-Store,2023-05-27
Txn_8826983,Smoothie,5,4.0,20.0,Cash,In-Store,2023-01-14
Txn_2947822,Cake,4,3.0,12.0,Digital Wallet,In-Store,2023-10-27
Txn_2493446,Sandwich,1,4.0,4.0,Cash,Takeaway,2023-05-19
Txn_4538354,Juice,3,3.0,9.0,Cash,Takeaway,2023-04-21
Txn_2690314,Tea,5,1.5,7.5,Cash,In-Store,2023-08-10
Txn_2968827,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-09-14
Txn_1387401,Cookie,4,1.0,4.0,Cash,In-Store,2023-10-19
Txn_3917193,Juice,5,3.0,15.0,Credit Card,Takeaway,2023-11-17
Txn_2062854,Sandwich,4,4.0,16.0,Digital Wallet,Takeaway,2023-12-01
Txn_5624860,Tea,3,1.5,4.5,Credit Card,Takeaway,2023-08-22
Txn_3381656,Cake,5,3.0,15.0,Cash,Takeaway,2023-10-26
Txn_1183995,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-03-28
Txn_7578769,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-01-30
Txn_3515664,Coffee,2,2.0,4.0,Cash,Takeaway,2023-09-25
Txn_6422433,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-05-09
Txn_4669664,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-12-21
Txn_2213556,Coffee,1,2.0,2.0,Cash,In-Store,2023-05-30
Txn_3826038,Salad,1,5.0,5.0,Cash,Takeaway,2023-10-20
Txn_7380277,Sandwich,4,4.0,16.0,Digital Wallet,Takeaway,2023-04-24
Txn_9266394,Cookie,2,1.0,2.0,Credit Card,In-Store,2023-07-12
Txn_6152588,Coffee,3,2.0,6.0,Cash,Takeaway,2023-11-21
Txn_5739806,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-09-18
Txn_9228978,Coffee,5,2.0,10.0,Digital Wallet,In-Store,2023-02-09
Txn_1124753,Salad,4,5.0,20.0,Digital Wallet,In-Store,2023-10-19
Txn_7611120,Juice,2,3.0,6.0,Cash,Takeaway,2023-03-30
Txn_6316959,Tea,2,1.5,3.0,Cash,In-Store,2023-11-10
Txn_2265984,Cookie,5,1.0,5.0,Credit Card,Takeaway,2023-10-18
Txn_1123138,Salad,1,5.0,5.0,Cash,In-Store,2023-02-10
Txn_9212503,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-10-08
Txn_2806243,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-01-14
Txn_3286932,Cookie,1,1.0,1.0,Digital Wallet,Takeaway,2023-07-11
Txn_3481470,Salad,4,5.0,20.0,Credit Card,In-Store,2023-12-24
Txn_3469469,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-10-25
Txn_4998786,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-10-25
Txn_2126408,Cookie,3,1.0,3.0,Cash,Takeaway,2023-10-19
Txn_8958593,Juice,5,3.0,15.0,Digital Wallet,In-Store,2023-07-08
Txn_2383598,Sandwich,2,4.0,8.0,Digital Wallet,In-Store,2023-09-19
Txn_2211685,Smoothie,1,4.0,4.0,Credit Card,In-Store,2023-06-06
Txn_5933480,Sandwich,3,4.0,12.0,Digital Wallet,In-Store,2023-09-04
Txn_5447508,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-06-28
Txn_5686113,Sandwich,5,4.0,20.0,Digital Wallet,In-Store,2023-09-09
Txn_3397609,Smoothie,2,4.0,8.0,Digital Wallet,In-Store,2023-07-22
Txn_9347203,Sandwich,5,4.0,20.0,Cash,In-Store,2023-04-15
Txn_3383926,Cake,3,3.0,9.0,Cash,Takeaway,2023-07-08
Txn_6905718,Salad,5,5.0,25.0,Credit Card,In-Store,2023-02-20
Txn_7993951,Tea,2,1.5,3.0,Digital Wallet,Takeaway,2023-12-14
Txn_9097641,Cake,4,3.0,12.0,Cash,Takeaway,2023-12-16
Txn_8536115,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-07-11
Txn_2915281,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-07-01
Txn_3468006,Smoothie,3,4.0,12.0,Credit Card,Takeaway,2023-07-28
Txn_7604541,Juice,4,3.0,12.0,Credit Card,In-Store,2023-04-16
Txn_9238689,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-03-09
Txn_2601689,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-01-14
Txn_6428182,Cake,5,3.0,15.0,Cash,In-Store,2023-11-10
Txn_6830557,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-11-08
Txn_6371264,Smoothie,5,4.0,20.0,Cash,Takeaway,2023-02-27
Txn_9236713,Cookie,5,1.0,5.0,Cash,In-Store,2023-09-13
Txn_4690833,Cake,1,3.0,3.0,Cash,Takeaway,2023-05-23
Txn_7946489,Juice,1,3.0,3.0,Cash,Takeaway,2023-09-11
Txn_8661288,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-01-27
Txn_6111710,Salad,3,5.0,15.0,Credit Card,In-Store,2023-06-18
Txn_1773873,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-06-10
Txn_4570711,Sandwich,4,4.0,16.0,Credit Card,In-Store,2023-12-11
Txn_5242469,Coffee,4,2.0,8.0,Credit Card,Takeaway,2023-04-01
Txn_1655100,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-12-20
Txn_1526864,Smoothie,3,4.0,12.0,Digital Wallet,In-Store,2023-01-27
Txn_9866728,Juice,1,3.0,3.0,Cash,In-Store,2023-10-26
Txn_1706201,Coffee,3,2.0,6.0,Credit Card,In-Store,2023-08-23
Txn_2498488,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-12-06
Txn_4431179,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-08-13
Txn_2108894,Sandwich,4,4.0,16.0,Credit Card,In-Store,2023-10-30
Txn_6347472,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-03-22
Txn_8345723,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-08-27
Txn_2178964,Tea,4,1.5,6.0,Cash,Takeaway,2023-12-25
Txn_6581437,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-10-23
Txn_6128621,Salad,3,5.0,15.0,Digital Wallet,In-Store,2023-11-10
Txn_4512118,Coffee,2,2.0,4.0,Digital Wallet,Takeaway,2023-04-20
Txn_4961655,Juice,5,3.0,15.0,Cash,Takeaway,2023-05-06
Txn_5595352,Juice,1,3.0,3.0,Cash,In-Store,2023-02-20
Txn_1869814,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-05-24
Txn_6910915,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-05-06
Txn_5229169,Juice,2,3.0,6.0,Credit Card,Takeaway,2023-09-08
Txn_5576265,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-04-08
Txn_1046394,Smoothie,1,4.0,4.0,Cash,In-Store,2023-04-29
Txn_2269396,Coffee,3,2.0,6.0,Digital Wallet,In-Store,2023-10-26
Txn_9263967,Cookie,3,1.0,3.0,Credit Card,In-Store,2023-09-14
Txn_2914088,Salad,5,5.0,25.0,Cash,In-Store,2023-03-22
Txn_6571898,Juice,3,3.0,9.0,Digital Wallet,Takeaway,2023-02-02
Txn_2108486,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-12-28
Txn_5315441,Smoothie,5,4.0,20.0,Digital Wallet,In-Store,2023-10-31
Txn_9196322,Cookie,4,1.0,4.0,Digital Wallet,In-Store,2023-08-12
Txn_7838465,Sandwich,3,4.0,12.0,Credit Card,Takeaway,2023-06-15
Txn_2447261,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-10-15
Txn_1460963,Coffee,3,2.0,6.0,Cash,In-Store,2023-02-10
Txn_6691767,Salad,2,5.0,10.0,Cash,Takeaway,2023-02-05
Txn_6932070,Tea,4,1.5,6.0,Credit Card,In-Store,2023-06-10
Txn_4640977,Cookie,3,1.0,3.0,Credit Card,In-Store,2023-02-11
Txn_7896721,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-04-22
Txn_7906197,Sandwich,5,4.0,20.0,Credit Card,In-Store,2023-01-02
Txn_8066743,Tea,3,1.5,4.5,Cash,Takeaway,2023-11-13
Txn_7585348,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-03-16
Txn_4005014,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-07-10
Txn_4478185,Cake,2,3.0,6.0,Cash,In-Store,2023-08-25
Txn_3461209,Juice,4,3.0,12.0,Credit Card,In-Store,2023-04-26
Txn_1026827,Cookie,4,1.0,4.0,Digital Wallet,In-Store,2023-01-02
Txn_5369555,Juice,4,3.0,12.0,Cash,Takeaway,2023-02-24
Txn_8187656,Tea,4,1.5,6.0,Credit Card,Takeaway,2023-05-01
Txn_6463415,Coffee,3,2.0,6.0,Digital Wallet,In-Store,2023-04-12
Txn_4634772,Juice,3,3.0,9.0,Credit Card,In-Store,2023-01-12
Txn_8034156,Sandwich,1,4.0,4.0,Cash,In-Store,2023-07-22
Txn_2163229,Cookie,4,1.0,4.0,Cash,Takeaway,2023-12-21
Txn_1343750,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-02-15
Txn_8022689,Tea,1,1.5,1.5,Cash,Takeaway,2023-06-15
Txn_2416816,Smoothie,5,4.0,20.0,Digital Wallet,In-Store,2023-10-19
Txn_1778707,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-03-26
Txn_3746260,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-08-26
Txn_3725837,Coffee,5,2.0,10.0,Cash,In-Store,2023-10-22
Txn_4594922,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-06-19
Txn_5163686,Salad,5,5.0,25.0,Credit Card,In-Store,2023-05-29
Txn_2826603,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-06-22
Txn_3760598,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-10-24
Txn_7679707,Tea,1,1.5,1.5,Credit Card,In-Store,2023-07-22
Txn_5007619,Cake,5,3.0,15.0,Credit Card,In-Store,2023-07-05
Txn_9625287,Juice,2,3.0,6.0,Cash,In-Store,2023-07-08
Txn_7337979,Coffee,1,2.0,2.0,Digital Wallet,In-Store,2023-05-27
Txn_5630457,Smoothie,1,4.0,4.0,Credit Card,Takeaway,2023-03-01
Txn_4487966,Juice,3,3.0,9.0,Cash,In-Store,2023-08-10
Txn_3663712,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-09-22
Txn_9140598,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-07-10
Txn_3696194,Salad,2,5.0,10.0,Credit Card,In-Store,2023-11-27
Txn_2964638,Salad,2,5.0,10.0,Digital Wallet,In-Store,2023-09-28
Txn_8336656,Salad,5,5.0,25.0,Cash,Takeaway,2023-12-02
Txn_6287890,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-02-07
Txn_5350401,Sandwich,2,4.0,8.0,Digital Wallet,In-Store,2023-10-28
Txn_1866028,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-06-12
Txn_9152264,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-03-15
Txn_3794585,Sandwich,1,4.0,4.0,Credit Card,In-Store,2023-02-10
Txn_9890874,Sandwich,5,4.0,20.0,Cash,In-Store,2023-09-02
Txn_6024625,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-09-13
Txn_7470910,Salad,2,5.0,10.0,Cash,In-Store,2023-11-22
Txn_1116119,Smoothie,4,4.0,16.0,Digital Wallet,In-Store,2023-08-07
Txn_3471223,Coffee,1,2.0,2.0,Digital Wallet,In-Store,2023-10-08
Txn_5021925,Tea,4,1.5,6.0,Cash,In-Store,2023-05-07
Txn_7764154,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-12-09
Txn_2178735,Juice,3,3.0,9.0,Credit Card,Takeaway,2023-07-24
Txn_5014959,Cookie,2,1.0,2.0,Credit Card,In-Store,2023-11-28
Txn_5348445,Salad,5,5.0,25.0,Digital Wallet,In-Store,2023-11-15
Txn_7215985,Tea,4,1.5,6.0,Credit Card,In-Store,2023-08-07
Txn_7448296,Cookie,1,1.0,1.0,Credit Card,In-Store,2023-11-15
Txn_1494608,Tea,3,1.5,4.5,Credit Card,In-Store,2023-05-07
Txn_7615147,Sandwich,4,4.0,16.0,Cash,In-Store,2023-05-19
Txn_5892508,Smoothie,1,4.0,4.0,Credit Card,Takeaway,2023-03-21
Txn_5546684,Coffee,1,2.0,2.0,Credit Card,In-Store,2023-10-02
Txn_6402128,Sandwich,4,4.0,16.0,Digital Wallet,In-Store,2023-11-09
Txn_5009706,Sandwich,2,4.0,8.0,Digital Wallet,In-Store,2023-09-20
Txn_3380698,Coffee,3,2.0,6.0,Credit Card,Takeaway,2023-12-15
Txn_1512118,Salad,4,5.0,20.0,Cash,In-Store,2023-03-01
Txn_4033888,Sandwich,2,4.0,8.0,Cash,In-Store,2023-02-04
Txn_7880148,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-12-12
Txn_4187420,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-01-31
Txn_9553579,Cake,2,3.0,6.0,Credit Card,In-Store,2023-10-03
Txn_3854285,Salad,3,5.0,15.0,Cash,Takeaway,2023-07-18
Txn_5614488,Sandwich,1,4.0,4.0,Credit Card,Takeaway,2023-07-22
Txn_6035534,Salad,4,5.0,20.0,Credit Card,In-Store,2023-12-18
Txn_7201724,Salad,1,5.0,5.0,Cash,Takeaway,2023-03-20
Txn_6113876,Cake,3,3.0,9.0,Cash,In-Store,2023-03-01
Txn_6450138,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-04-13
Txn_7085875,Juice,3,3.0,9.0,Digital Wallet,In-Store,2023-08-23
Txn_6057379,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-03-18
Txn_9313535,Cookie,1,1.0,1.0,Digital Wallet,Takeaway,2023-06-04
Txn_9626053,Salad,1,5.0,5.0,Cash,Takeaway,2023-08-11
Txn_5583534,Cookie,2,1.0,2.0,Cash,Takeaway,2023-10-31
Txn_1438257,Salad,4,5.0,20.0,Credit Card,Takeaway,2023-06-13
Txn_3963927,Sandwich,4,4.0,16.0,Credit Card,In-Store,2023-01-03
Txn_7023528,Tea,5,1.5,7.5,Cash,In-Store,2023-10-28
Txn_9124680,Cookie,2,1.0,2.0,Cash,Takeaway,2023-10-03
Txn_7853635,Salad,3,5.0,15.0,Digital Wallet,Takeaway,2023-02-16
Txn_3516263,Cake,2,3.0,6.0,Digital Wallet,In-Store,2023-09-23
Txn_1591640,Cake,2,3.0,6.0,Cash,In-Store,2023-05-26
Txn_1697018,Juice,4,3.0,12.0,Digital Wallet,In-Store,2023-07-02
